date,fit_prediction_9,fit_upper_9,fit_lower_9,price
2015-01-31,1265,1572,958,1249
2015-02-28,1278,1570,986,1231
2015-03-31,1290,1568,1011,1181
2015-04-30,1292,1566,1018,1198
2015-05-31,1277,1560,994,1198
2015-06-30,1220,1543,897,1182
2015-07-31,1210,1534,885,1132
2015-08-31,1211,1528,894,1118
2015-09-30,1218,1524,912,1125
2015-10-31,1224,1520,929,1157
2015-11-30,1224,1515,932,1088
2015-12-31,1219,1510,927,1068
2016-01-31,1219,1507,932,1096
2016-02-29,1222,1505,938,1195
2016-03-31,1213,1499,926,1246
2016-04-30,1188,1490,886,1241
2016-05-31,1161,1480,842,1260
2016-06-30,1135,1471,799,1274
2016-07-31,1128,1468,788,1337
2016-08-31,1155,1477,833,1341
2016-09-30,1208,1498,919,1327
2016-10-31,1258,1516,1000,1269
2016-11-30,1295,1531,1060,1240
2016-12-31,1327,1548,1105,1152
2017-01-31,1358,1574,1143,1193
2017-02-28,1384,1598,1170,1233
2017-03-31,1390,1603,1176,1231
2017-04-30,1378,1592,1165,1267
2017-05-31,1351,1567,1135,1245
2017-06-30,1315,1537,1093,1261
2017-07-31,1295,1518,1072,1235
2017-08-31,1285,1506,1064,1282
2017-09-30,1277,1498,1056,1317
2017-10-31,1262,1488,1036,1281
2017-11-30,1259,1485,1033,1283
2017-12-31,1274,1493,1056,1266
2018-01-31,1297,1509,1086,1333
2018-02-28,1326,1532,1121,1334
2018-03-31,1347,1548,1146,1326
2018-04-30,1349,1549,1150,1334
2018-05-31,1332,1535,1129,1304
2018-06-30,1291,1506,1076,1282
2018-07-31,1254,1476,1031,1238
2018-08-31,1233,1456,1010,1202
2018-09-30,1226,1447,1005,1199
2018-10-31,1234,1449,1020,1215
2018-11-30,1255,1463,1047,1221
2018-12-31,1271,1474,1067,1250
2019-01-31,1288,1488,1089,1292
2019-02-28,1313,1509,1118,1320
2019-03-31,1327,1518,1135,1302
2019-04-30,1327,1516,1139,1288
2019-05-31,1317,1506,1128,1283
2019-06-30,1302,1494,1109,1358
2019-07-31,1304,1497,1110,1415
2019-08-31,1312,1501,1122,1497
2019-09-30,1317,1500,1134,1510
2019-10-31,1326,1506,1147,1495
2019-11-30,1354,1543,1164,1472
2019-12-31,1421,1649,1193,1480
2020-01-31,1529,1830,1228,1561
2020-02-29,1639,2020,1259,1599
2020-03-31,1706,2134,1278,1594
2020-04-30,1707,2132,1281,1680
2020-05-31,1645,2020,1270,1716
2020-06-30,1567,1881,1252,1727
